Entry ID,Ligand,Value,Symbol,Type,Unit,PDB ID,Title,Structure Title,Stucture Keywords,Gene Name,EC Number,Annotation Identifier,Entity ID,Entry Id (Polymer Entity Identifiers),Target Protein,Accession Code(s),Database Name,Ligand Formula,Ligand MW,Ligand ID,Ligand Name,Ligand SMILES,Entity ID
7TXT,,,,,,7TXT,Structure of human serotonin transporter bound to small molecule '8090 in lipid nanodisc and NaCl,Structure of human serotonin transporter bound to small molecule '8090 in lipid nanodisc and NaCl,TRANSPORT PROTEIN,,,,1,7TXT,wildtype,,,C13 H14 F N3 S,263.334,KWC,"1-[4-(4-fluorophenyl)-1,3-thiazol-2-yl]piperazine",c1cc(ccc1c2csc(n2)N3CCNCC3)F,4
7U0Q,,,,,,7U0Q,SARS-Cov2 S protein structure in complex with neutralizing monoclonal antibody 002-02,SARS-Cov2 S protein structure in complex with neutralizing monoclonal antibody 002-02,VIRAL PROTEIN/IMMUNE SYSTEM,"S, 2",,"GO:0044173, GO:0020002, GO:0016020, GO:0019031, GO:0055036, GO:0046789, GO:0042802, GO:0075509, GO:0039654, GO:0019064, GO:0061025, GO:0046598, GO:0019065, GO:0046813, GO:0039587, GO:0039502, GO:0046718, GO:0019058, IPR032500, IPR042578, IPR043607, IPR043473, IPR043002, IPR044341, IPR018548, IPR044366, IPR036326, IPR002552, IPR044873, IPR044874, P0DTC2",1,7U0Q,wildtype,P0DTC2,UniProt,C8 H15 N O6,221.208,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,CC(=O)NC1C(C(C(OC1O)CO)O)O,6
7U0X,,,,,,7U0X,SARS-Cov2 S protein structure in complex with neutralizing monoclonal antibody 002-13,SARS-Cov2 S protein structure in complex with neutralizing monoclonal antibody 002-13,VIRAL PROTEIN/IMMUNE SYSTEM,"S, 2",,"GO:0044173, GO:0020002, GO:0016020, GO:0019031, GO:0055036, GO:0046789, GO:0042802, GO:0075509, GO:0039654, GO:0019064, GO:0061025, GO:0046598, GO:0019065, GO:0046813, GO:0039587, GO:0039502, GO:0046718, GO:0019058, IPR032500, IPR042578, IPR043607, IPR043473, IPR043002, IPR044341, IPR018548, IPR044366, IPR036326, IPR002552, IPR044873, IPR044874, P0DTC2",1,7U0X,wildtype,P0DTC2,UniProt,C8 H15 N O6,221.208,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,CC(=O)NC1C(C(C(OC1O)CO)O)O,5
7U8F,,,,,,7U8F,Discovery and characterization of a selective IKZF2 glue degrader for cancer immunotherapy.,Ternary complex structure of Cereblon-DDB1 bound to IKZF2(ZF2) and the molecular glue DKY709,LIGASE,"DDB1, XAP1",,"GO:0000781, GO:0080008, GO:0031464, GO:0031465, GO:0005737, GO:0070062, GO:0005615, GO:0005654, GO:0005634, GO:0032991, GO:0035861, GO:0097602, GO:0003684, GO:0003677, GO:0044877, GO:0030674, GO:0071987, GO:0006915, GO:0051702, GO:0006974, GO:0034644, GO:0006281, GO:0035234, GO:0035518, GO:0043066, GO:0051093, GO:2000242, GO:0006289, GO:0046726, GO:0045722, GO:0045732, GO:0045070, GO:0010498, GO:0043161, GO:0016567, GO:0042752, GO:1901990, GO:0048511, GO:0006511, GO:0070914, GO:0019076, GO:0016055, IPR004871, IPR018846, IPR031297, IPR015943, IPR036322, Q16531",2,7U8F,wildtype,Q16531,UniProt,C25 H27 N3 O3,417.5,LWK,"(3S)-3-[5-(1-benzylpiperidin-4-yl)-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione",c1ccc(cc1)CN2CCC(CC2)c3ccc4c(c3)CN(C4=O)C5CCC(=O)NC5=O,5
7X0Z,,,,,,7X0Z,Structural insights into substrate recognition and translocation of human peroxisomal ABC transporter ALDP.,Cryo-EM structure of human ABCD1 E630Q in the presence of ATP and Magnesium in outward-facing state,STRUCTURAL PROTEIN,"ABCD1, ALD","3.1.2, 7.6.2","GO:0005737, GO:0005829, GO:0005789, GO:0005765, GO:0016020, GO:0031966, GO:0048471, GO:0005778, GO:0005777, GO:0015607, GO:0047617, GO:0043531, GO:0005524, GO:0016887, GO:0042626, GO:0019899, GO:0042802, GO:0005324, GO:0046982, GO:0042803, GO:0036109, GO:0006635, GO:0030497, GO:0055089, GO:0043651, GO:0042758, GO:0015910, GO:0043217, GO:1900016, GO:1903427, GO:1990535, GO:0015919, GO:0007031, GO:0032000, GO:2001280, GO:1900407, GO:0031998, GO:0051900, GO:0002082, GO:0055092, GO:0042760, GO:0000038, GO:0036113, IPR003593, IPR011527, IPR036640, IPR003439, IPR017871, IPR031237, IPR005283, IPR027417, P33897, TRANSMEMBRANE PROTEINS: ALPHA-HELICAL.ATP Binding Cassette (ABC) Transporters.peroxisomal fatty acid transporter ABCD1, also known as adrenoleukodystrophy protein (ALDP), C26:0 bound, Transmembrane.Alpha-helical polytopic.ABC transporters.ABC transporter D familiy (ABCD), Generic PDBTM",1,7X0Z,mutant,P33897,UniProt,C10 H16 N5 O13 P3,507.181,ATP,ADENOSINE-5'-TRIPHOSPHATE,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,3
7X1W,,,,,,7X1W,Structural insights into substrate recognition and translocation of human peroxisomal ABC transporter ALDP.,Cryo-EM structure of human ABCD1 E630Q in the presence of ATP in inward-facing state,STRUCTURAL PROTEIN,"ABCD1, ALD","3.1.2, 7.6.2","GO:0005737, GO:0005829, GO:0005789, GO:0005765, GO:0016020, GO:0031966, GO:0048471, GO:0005778, GO:0005777, GO:0015607, GO:0047617, GO:0043531, GO:0005524, GO:0016887, GO:0042626, GO:0019899, GO:0042802, GO:0005324, GO:0046982, GO:0042803, GO:0036109, GO:0006635, GO:0030497, GO:0055089, GO:0043651, GO:0042758, GO:0015910, GO:0043217, GO:1900016, GO:1903427, GO:1990535, GO:0015919, GO:0007031, GO:0032000, GO:2001280, GO:1900407, GO:0031998, GO:0051900, GO:0002082, GO:0055092, GO:0042760, GO:0000038, GO:0036113, IPR003593, IPR011527, IPR036640, IPR003439, IPR017871, IPR031237, IPR005283, IPR027417, P33897, TRANSMEMBRANE PROTEINS: ALPHA-HELICAL.ATP Binding Cassette (ABC) Transporters.peroxisomal fatty acid transporter ABCD1, also known as adrenoleukodystrophy protein (ALDP), C26:0 bound, Transmembrane.Alpha-helical polytopic.ABC transporters.ABC transporter D familiy (ABCD), Generic PDBTM",1,7X1W,mutant,P33897,UniProt,C10 H16 N5 O13 P3,507.181,ATP,ADENOSINE-5'-TRIPHOSPHATE,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,2
7X2H,,,,,,7X2H,Crystal structure of SARS-CoV-2 spike receptor-binding domain bound with 6-2C Fab,Crystal structure of SARS-CoV-2 spike receptor-binding domain bound with 6-2C Fab,VIRAL PROTEIN/IMMUNE SYSTEM,,,,1,7X2H,wildtype,,,C8 H15 N O6,221.208,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,CC(=O)NC1C(C(C(OC1O)CO)O)O,4
7X3N,,,,,,7X3N,Structural determination of an antibody that specifically recognizes polyethylene glycol with a terminal methoxy group,Crystal structure of anti-mPEG h15-2b Fab,IMMUNE SYSTEM,,,,1,7X3N,wildtype,,,C13 H28 O7,296.357,P15,"2,5,8,11,14,17-HEXAOXANONADECAN-19-OL",COCCOCCOCCOCCOCCOCCO,3
7X93,,,,,,7X93,Intentional generation of sars-cov-2 therapeutic antibodies with broad spectrum,The SARS-CoV-2 receptor binding domain bound with the Fab fragment of a human neutralizing antibody Ab765,VIRAL PROTEIN,"S, 2",,"GO:0044173, GO:0020002, GO:0016020, GO:0019031, GO:0055036, GO:0046789, GO:0042802, GO:0075509, GO:0039654, GO:0019064, GO:0061025, GO:0046598, GO:0019065, GO:0046813, GO:0039587, GO:0039502, GO:0046718, GO:0019058, IPR032500, IPR042578, IPR043607, IPR043473, IPR043002, IPR044341, IPR018548, IPR044366, IPR036326, IPR002552, IPR044873, IPR044874, P0DTC2",1,7X93,mutant,P0DTC2,UniProt,C8 H15 N O6,221.208,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,CC(=O)NC1C(C(C(OC1O)CO)O)O,6
7XDB,,,,,,7XDB,Biparatopic antibody BA7208/7125 effectively neutralizes SARS-CoV-2 variants including Omicron BA.1-BA.5.,Cryo-EM structure of SARS-CoV-2 Omicron Spike protein in complex with BA7208 fab,VIRAL PROTEIN,"S, 2",,"GO:0044173, GO:0020002, GO:0016020, GO:0019031, GO:0055036, GO:0046789, GO:0042802, GO:0075509, GO:0039654, GO:0019064, GO:0061025, GO:0046598, GO:0019065, GO:0046813, GO:0039587, GO:0039502, GO:0046718, GO:0019058, IPR032500, IPR042578, IPR043607, IPR043473, IPR043002, IPR044341, IPR018548, IPR044366, IPR036326, IPR002552, IPR044873, IPR044874, P0DTC2",2,7XDB,mutant,P0DTC2,UniProt,C8 H15 N O6,221.208,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,CC(=O)NC1C(C(C(OC1O)CO)O)O,5
